date,sentence_count,hawkish_sentences,dovish_sentences,avg_confidence,finbert_net_hawkish_score
2015-09-17,267,100,21,0.8884288455439864,0.2958801498127341
2015-10-28,291,98,27,0.8832116796798313,0.24398625429553264
2015-12-16,275,98,18,0.8956925721602006,0.2909090909090909
2016-01-27,452,126,15,0.8791800445951192,0.24557522123893805
2016-03-16,276,97,24,0.8787199934755546,0.2644927536231884
2016-04-27,320,96,31,0.868022034689784,0.203125
2016-06-15,290,85,26,0.8851403173701516,0.20344827586206896
2016-07-27,355,104,40,0.8705720203863063,0.18028169014084508
2016-09-21,358,96,45,0.885541705529117,0.1424581005586592
2016-11-02,325,106,26,0.8694647446962503,0.24615384615384617
2016-12-14,303,111,25,0.89392091063383,0.2838283828382838
2017-02-01,447,105,24,0.8898658622431275,0.18120805369127516
2017-03-15,323,106,33,0.8772068045825782,0.2260061919504644
2017-05-03,313,97,29,0.883654646980115,0.21725239616613418
2017-06-14,317,101,22,0.8935926854610443,0.24921135646687698
2017-07-26,281,103,22,0.8910104171024947,0.28825622775800713
2017-09-20,307,100,21,0.8934253550313583,0.25732899022801303
2017-11-01,283,101,22,0.899178908802174,0.2791519434628975
2017-12-13,270,100,14,0.9015897536719287,0.31851851851851853
2018-01-31,437,140,32,0.890786850070517,0.2471395881006865
2018-03-21,260,94,22,0.8823644553239529,0.27692307692307694
2018-05-02,290,102,23,0.8722612196001513,0.27241379310344827
2018-06-13,247,77,23,0.8756947508949017,0.21862348178137653
2018-08-01,309,95,36,0.858170711878434,0.19093851132686085
2018-09-26,258,76,22,0.8733764956163805,0.20930232558139536
2018-11-08,300,93,22,0.841292969584465,0.23666666666666666
2018-12-19,296,99,21,0.8785527066604512,0.2635135135135135
2019-01-30,481,128,23,0.8720457658574388,0.2182952182952183
2019-03-20,324,105,28,0.8665193948480818,0.23765432098765432
2019-05-01,339,79,33,0.8757077557499078,0.13569321533923304
2019-06-19,293,80,32,0.8801234469275425,0.16382252559726962
2019-07-31,358,117,43,0.8720978710737974,0.20670391061452514
2019-09-18,364,133,47,0.8707576848484657,0.23626373626373626
2019-10-30,431,109,53,0.8380542557919938,0.12993039443155452
2019-12-11,326,90,29,0.8768087848563867,0.18711656441717792
2020-01-29,460,119,28,0.8795112680481828,0.19782608695652174
2020-03-15,349,62,37,0.8426682296660022,0.07163323782234957
2020-04-29,337,80,18,0.838618351638494,0.18397626112759644
2020-06-10,349,84,38,0.8493591186651869,0.1318051575931232
2020-07-29,332,77,20,0.863434744258243,0.1716867469879518
2020-09-16,381,90,32,0.8670530797146124,0.15223097112860892
2020-11-05,341,70,61,0.8843856220546007,0.026392961876832845
2020-12-16,299,71,39,0.8837058961790142,0.10702341137123746
2021-01-27,463,94,40,0.8811774699914533,0.11663066954643629
2021-03-17,313,84,31,0.8757828556881926,0.16932907348242812
2021-04-28,333,75,40,0.8650766007893078,0.10510510510510511
2021-06-16,359,95,40,0.8800458811783857,0.1532033426183844
2021-07-28,363,94,74,0.8791436497173362,0.05509641873278237
2021-09-22,322,86,43,0.8872993743012411,0.13354037267080746
2021-11-03,291,87,39,0.8697714950006032,0.16494845360824742
2021-12-15,345,104,42,0.8733304578325023,0.17971014492753623
2022-01-26,488,119,40,0.8734836996090217,0.16188524590163936
2022-03-16,314,109,17,0.8558804232413602,0.2929936305732484
2022-05-04,307,105,13,0.8662659898642997,0.2996742671009772
2022-06-15,296,117,13,0.9001642964981698,0.35135135135135137
2022-07-27,317,127,17,0.8999770676676031,0.3470031545741325
2022-09-21,278,113,16,0.9041490153871852,0.3489208633093525
2022-11-02,295,114,11,0.8947671112367662,0.34915254237288135
2022-12-14,292,117,15,0.9122235970954372,0.3493150684931507
2023-02-01,318,119,19,0.8893825433351709,0.31446540880503143
2023-03-22,285,113,9,0.9025318210585076,0.3649122807017544
2023-05-03,313,127,17,0.8962586042218315,0.3514376996805112
2023-06-14,271,98,15,0.8999442685794127,0.3062730627306273
2023-07-26,264,108,16,0.918822230488965,0.3484848484848485
2023-09-20,254,95,11,0.8996013068542705,0.33070866141732286
2023-11-01,268,90,12,0.8865929939853612,0.291044776119403
2023-12-13,252,102,14,0.8927789338760905,0.3492063492063492
2024-01-31,290,105,14,0.8964552046923802,0.3137931034482759
2024-03-20,287,112,13,0.8669377894559388,0.34494773519163763
2024-05-01,278,107,13,0.8913337403921773,0.3381294964028777
2024-06-12,251,95,18,0.8853679220989881,0.30677290836653387
2024-07-31,265,79,18,0.890585513384837,0.23018867924528302
2024-09-18,243,86,27,0.8947573873241252,0.24279835390946503
2024-11-07,266,81,18,0.8755189098585817,0.23684210526315788
2024-12-18,254,84,20,0.8845002254632515,0.25196850393700787
2025-01-29,302,93,15,0.8748114597521081,0.2582781456953642
2025-03-19,271,86,13,0.8893986909591843,0.2693726937269373
2025-05-07,290,93,14,0.8836325104894309,0.27241379310344827
2025-06-18,271,88,13,0.8812937064584331,0.2767527675276753
2025-07-30,264,83,18,0.8741102735653068,0.24621212121212122
2025-09-17,239,74,20,0.8764987338536953,0.22594142259414227
2025-10-29,304,91,17,0.8658914167041841,0.24342105263157895
2025-12-10,266,96,21,0.8671520820685795,0.2819548872180451
2026-01-28,251,69,16,0.882816207242677,0.21115537848605578
2026-03-18,230,71,16,0.8817035677640335,0.2391304347826087
2026-04-29,268,81,15,0.8781775490783933,0.2462686567164179
2026-06-17,203,68,13,0.863032506310881,0.270935960591133
